Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category,Premium/Income Ratio,Policy Value/Income Ratio,Policy to Death Timeline,Death to Intimation Gap,Location Risk,Location-Based Risk,Occupation Risk Score,Product Type Risk,,Fraud Category
325,54,12,11,500000,50000,4,720000,0,1,12,10,346,3,782120,4,0,1,12/20/2022,,,0,11,8,0.069444444,0.6944444444444444,,,346_3,276,0.763888889,2.7777777777777777,,Misrepresentation
326,55,12,11,500000,50000,4,600000,0,1,12,10,0,0,-,4,0,1,12/21/2022,,,0,11,8,0.083333333,0.8333333333333334,,,0_0,0,0.9166666666666666,3.3333333333333335,,Misrepresentation
327,52,11,11,300000,30000,4,1020000,0,0,12,10,114,13,828113,4,0,1,12/28/2022,,,0,11,8,0.029411764705882353,0.29411764705882354,,,114_13,17,0.3235294117647059,1.1764705882352942,,Misrepresentation
328,51,12,2,400000,40000,4,480000,0,1,12,10,416,18,795107,4,0,1,12/22/2022,,,0,11,8,0.083333333,0.8333333333333334,,,416_18,354,0.16666666666666666,3.3333333333333335,,Misrepresentation
329,53,12,11,1000000,100000,4,1140000,0,1,12,10,228,13,831004,4,0,1,12/21/2022,,,0,11,8,0.087719298,0.8771929824561403,,,228_13,144,0.9649122807017543,3.508771929824561,,Misrepresentation
330,54,10,9,300000,30000,4,600000,0,0,12,10,223,29,244221,4,0,1,12/26/2022,,,0,11,8,0.05,0.5,,,223_29,139,0.45,2,,Misrepresentation
331,54,10,11,500000,50000,4,650000,0,1,12,10,154,24,152132,4,0,1,12/26/2022,,,0,11,8,0.076923077,0.7692307692307693,,,154_24,61,0.8461538461538463,3.076923076923077,,Misrepresentation
332,55,5,11,1000000,100000,4,1800000,0,1,12,10,132,13,826001,4,0,1,1/6/2023,,,0,11,8,0.055555556,0.5555555555555556,,,132_13,37,0.611111111,2.2222222222222223,,Misrepresentation
333,55,10,11,500000,50000,4,960000,0,1,12,10,300,27,502285,4,0,1,1/6/2023,,,0,11,8,0.052083333333333336,0.5208333333333334,,,300_27,226,0.5729166666666667,2.0833333333333335,,Misrepresentation
334,45,12,11,300000,30000,4,480000,0,0,12,10,30,29,243122,4,0,1,1/11/2023,,,0,11,8,0.0625,0.625,,,30_29,236,0.6875,2.5,,Misrepresentation
335,53,12,11,1000000,100000,4,900000,0,1,12,10,469,3,786182,4,0,1,1/3/2023,,,0,11,8,0.1111111111111111,1.1111111111111112,,,469_3,413,1.222222222222222,4.444444444444445,,Misrepresentation
336,47,12,2,1000000,100000,4,600000,0,1,12,10,189,29,281306,4,0,1,1/4/2023,,,0,11,8,0.16666666666666666,1.6666666666666667,,,189_29,100,0.3333333333333333,6.666666666666667,,Misrepresentation
337,54,11,11,500000,50000,4,540000,0,1,15,10,171,24,145025,4,0,1,1/5/2023,,,0,11,8,0.092592593,0.9259259259259259,,,171_24,81,1.0185185185185184,3.7037037037037037,,Misrepresentation
338,52,12,11,500000,50000,4,840000,0,1,12,10,56,31,713378,4,0,1,1/6/2023,,,0,11,8,0.05952381,0.5952380952380952,,,56_31,464,0.6547619047619048,2.380952380952381,,Misrepresentation
339,54,12,11,500000,50000,4,420000,0,1,12,10,91,25,312402,4,0,1,1/10/2023,,,0,11,8,0.11904761904761904,1.1904761904761905,,,91_25,503,1.3095238095238095,4.761904761904762,,Misrepresentation
340,54,12,11,600000,60000,4,600000,0,1,15,10,357,3,782002,4,3,Unknown,1/24/2023,,,0,11,8,0.1,1,,,357_3,288,1.1,4,,Misrepresentation
341,55,12,11,400000,40000,4,540000,0,1,12,10,469,3,786170,4,0,1,1/16/2023,,,0,11,8,0.074074074,0.7407407407407407,,,469_3,413,0.8148148148148148,2.962962962962963,,Misrepresentation
342,48,12,11,300000,30000,4,10800000,0,1,12,10,351,16,487441,4,0,1,1/18/2023,,,0,11,8,0.002777778,0.027777777777777776,,,351_16,282,0.030555555555555558,0.1111111111111111,,Misrepresentation
343,55,10,2,1000000,100000,4,420000,0,1,15,10,107,3,784114,4,3,Unknown,1/18/2023,,,0,11,8,0.23809523809523808,2.380952380952381,,,107_3,9,0.47619047619047616,9.523809523809524,,Misrepresentation
344,54,12,2,1000000,100000,4,1200000,0,1,12,10,357,3,782439,4,0,1,1/24/2023,,,0,11,8,0.083333333,0.8333333333333334,,,357_3,288,0.16666666666666666,3.3333333333333335,,Misrepresentation
345,52,12,11,500000,50000,4,600000,0,1,12,10,139,31,713205,4,0,1,1/24/2023,,,0,11,8,0.083333333,0.8333333333333334,,,139_31,44,0.9166666666666666,3.3333333333333335,,Misrepresentation
346,52,10,11,500000,50000,4,816000,0,0,12,10,90,1,517501,4,0,1,3/6/2023,,,0,11,8,0.061274509803921566,0.6127450980392157,,,90_1,502,0.6740196078431372,2.450980392156863,,Misrepresentation
347,54,12,11,500000,50000,4,600000,0,1,12,10,351,16,487881,4,0,1,1/23/2023,,,0,11,8,0.083333333,0.8333333333333334,,,351_16,282,0.9166666666666666,3.3333333333333335,,Misrepresentation
348,33,12,0,300000,30000,4,540000,0,0,12,10,272,11,132039,4,1,Unknown,1/30/2023,,,0,11,8,0.055555556,0.5555555555555556,,,272_11,193,0,2.2222222222222223,,Misrepresentation
349,49,10,11,1000000,100000,4,732000,0,1,12,10,406,16,457226,4,0,1,1/27/2023,,,0,11,8,0.1366120218579235,1.366120218579235,,,406_16,343,1.5027322404371586,5.464480874,,Misrepresentation
350,52,11,6,125000,100000,3,500000,0,1,10,10,382,17,411009,4,3,Unknown,2/7/2023,,,0,11,8,0.2,0.25,,,382_17,316,1.2000000000000002,1,,Misrepresentation
351,54,10,11,400000,40000,4,480000,0,1,12,10,12,27,504311,4,0,1,2/1/2023,,,0,11,8,0.083333333,0.8333333333333334,,,12_27,34,0.9166666666666666,3.3333333333333335,,Misrepresentation
352,52,12,11,400000,40000,4,600000,0,0,12,10,114,13,828302,4,0,1,2/6/2023,,,0,11,8,0.066666667,0.6666666666666666,,,114_13,17,0.7333333333333333,2.6666666666666665,,Misrepresentation
353,52,12,11,500000,50000,4,624000,0,1,12,10,410,13,816115,4,0,1,2/2/2023,,,0,11,8,0.080128205,0.8012820512820513,,,410_13,348,0.8814102564102565,3.2051282051282053,,Misrepresentation
354,48,12,11,1000000,100000,4,540000,0,1,12,10,455,16,473775,4,0,1,2/6/2023,,,0,11,8,0.18518518518518517,1.8518518518518519,,,455_16,398,2.0370370370370368,7.407407407407407,,Misrepresentation
355,49,12,11,520000,52000,4,800000,0,0,12,10,344,27,503001,4,0,1,2/27/2023,,,0,11,8,0.065,0.65,,,344_27,274,0.7150000000000001,2.6,,Misrepresentation
356,54,12,2,497000,49700,4,420000,0,1,12,10,60,29,210128,4,3,Unknown,2/14/2023,,,0,11,8,0.11833333333333333,1.1833333333333333,,,60_29,469,0.23666666666666666,4.733333333333333,,Misrepresentation
357,51,11,2,400000,40000,4,240000,0,1,12,10,176,13,822114,4,3,Unknown,2/13/2023,,,0,11,8,0.16666666666666666,1.6666666666666667,,,176_13,86,0.3333333333333333,6.666666666666667,,Misrepresentation
358,55,12,11,300000,30000,4,480000,0,1,12,10,349,3,781304,4,0,1,2/15/2023,,,0,11,8,0.0625,0.625,,,349_3,279,0.6875,2.5,,Misrepresentation
359,55,10,11,500000,50000,4,720000,0,1,15,10,494,4,844102,4,3,Unknown,2/22/2023,,,0,11,8,0.069444444,0.6944444444444444,,,494_4,441,0.763888889,2.7777777777777777,,Misrepresentation
360,54,12,11,500000,50000,4,600000,0,1,12,10,64,25,325216,4,0,1,2/21/2023,,,0,11,8,0.083333333,0.8333333333333334,,,64_25,473,0.9166666666666666,3.3333333333333335,,Misrepresentation
361,53,10,11,380000,38000,4,540000,3,1,12,10,357,3,782124,4,0,1,2/24/2023,,,0,11,8,0.07037037,0.7037037037037037,,,357_3,288,0.7740740740740741,2.814814814814815,,Misrepresentation
362,47,12,10,500000,50000,4,360000,0,1,12,10,149,29,207243,4,0,1,3/1/2023,,,0,11,8,0.1388888888888889,1.3888888888888888,,,149_29,55,1.3888888888888888,5.555555555555555,,Misrepresentation
363,49,10,2,500000,50000,4,420000,0,0,12,10,51,13,827302,4,0,1,3/20/2023,,,0,11,8,0.11904761904761904,1.1904761904761905,,,51_13,459,0.23809523809523808,4.761904761904762,,Misrepresentation
364,55,12,11,300000,30000,4,480000,0,0,12,10,346,3,782141,4,0,1,3/24/2023,,,0,11,8,0.0625,0.625,,,346_3,276,0.6875,2.5,,Misrepresentation
365,48,10,0,490000,49000,4,400000,0,1,12,10,301,29,250401,4,0,1,3/17/2023,,,0,11,8,0.1225,1.225,,,301_29,227,0,4.9,,Misrepresentation
366,47,12,11,300000,30000,4,240000,0,1,12,10,93,26,641603,4,3,Unknown,3/20/2023,,,0,11,8,0.125,1.25,,,93_26,505,1.375,5,,Misrepresentation
367,46,12,10,500000,50000,4,384000,0,0,12,10,239,7,494334,4,0,3,3/21/2023,,,0,11,8,0.13020833333333334,1.3020833333333333,,,239_7,156,1.3020833333333335,5.208333333333333,,Misrepresentation
368,54,5,2,499000,49900,4,250000,0,1,12,10,168,29,273202,4,3,Unknown,3/20/2023,,,0,11,8,0.1996,1.996,,,168_29,77,0.3992,7.984,,Misrepresentation
369,41,5,6,999000,99900,4,900000,0,1,25,10,497,27,506001,4,3,Unknown,3/24/2023,,,0,11,8,0.111,1.11,,,497_27,444,0.666,4.44,,Misrepresentation
370,54,12,11,500000,50000,4,600000,0,1,12,10,6,29,202280,4,0,1,3/22/2023,,,0,11,8,0.083333333,0.8333333333333334,,,6_29,479,0.9166666666666666,3.3333333333333335,,Misrepresentation
371,38,1,2,1000000,100000,4,420000,0,1,20,10,95,1,516002,4,3,Unknown,3/27/2023,,,0,11,8,0.23809523809523808,2.380952380952381,,,95_1,507,0.47619047619047616,9.523809523809524,,Misrepresentation
372,46,12,2,1000000,100000,4,960000,0,1,12,10,417,16,480667,4,3,Unknown,3/27/2023,,,0,11,8,0.10416666666666667,1.0416666666666667,,,417_16,355,0.20833333333333334,4.166666666666667,,Misrepresentation
373,46,10,0,300000,30000,4,360000,0,1,12,10,211,25,303005,4,0,6,3/28/2023,,,0,11,8,0.083333333,0.8333333333333334,,,211_25,126,0,3.3333333333333335,,Misrepresentation
374,50,12,11,600000,60000,4,600000,0,1,12,10,346,3,782124,4,0,1,3/27/2023,,,0,11,8,0.1,1,,,346_3,276,1.1,4,,Misrepresentation
375,54,12,11,1000000,100000,4,1200000,0,1,12,10,241,29,208002,4,0,1,3/31/2023,,,0,11,8,0.083333333,0.8333333333333334,,,241_29,159,0.9166666666666666,3.3333333333333335,,Misrepresentation
376,53,12,11,750000,75000,4,600000,0,1,12,10,243,3,782485,4,0,1,3/31/2023,,,0,11,8,0.125,1.25,,,243_3,161,1.375,5,,Misrepresentation
377,53,12,0,500000,50000,4,420000,0,1,12,10,88,16,471515,4,3,Unknown,4/18/2023,,,0,11,8,0.11904761904761904,1.1904761904761905,,,88_16,499,0,4.761904761904762,,Misrepresentation
378,54,12,11,700000,70000,4,600000,0,1,12,10,332,3,782144,4,0,1,3/31/2023,,,0,11,8,0.11666666666666667,1.1666666666666667,,,332_3,261,1.2833333333333334,4.666666666666667,,Misrepresentation
379,55,12,2,1000000,100000,4,1440000,0,1,12,10,104,1,516162,4,0,1,4/6/2023,,,0,11,8,0.069444444,0.6944444444444444,,,104_1,6,0.1388888888888889,2.7777777777777777,,Misrepresentation
380,48,12,11,400000,40000,4,576000,0,1,12,10,386,7,493559,4,0,1,4/11/2023,,,0,11,8,0.069444444,0.6944444444444444,,,386_7,320,0.763888889,2.7777777777777777,,Misrepresentation
381,50,5,6,500000,50000,4,360000,0,1,15,10,167,4,841441,4,3,Unknown,4/21/2023,,,0,11,8,0.1388888888888889,1.3888888888888888,,,167_4,76,0.8333333333333334,5.555555555555555,,Misrepresentation
382,50,12,2,1000000,100000,4,500000,0,1,12,10,417,16,480661,4,3,Unknown,4/10/2023,,,0,11,8,0.2,2,,,417_16,355,0.4,8,,Misrepresentation
383,48,12,11,300000,30000,4,624000,0,0,12,10,51,13,829123,4,3,Unknown,5/17/2023,,,0,11,8,0.048076923,0.4807692307692308,,,51_13,459,0.5288461538461539,1.9230769230769231,,Misrepresentation
384,53,12,2,400000,40000,4,420000,0,1,15,10,105,21,754134,4,3,Unknown,4/13/2023,,,0,11,8,0.095238095,0.9523809523809523,,,105_21,7,0.19047619047619047,3.8095238095238093,,Misrepresentation
385,55,12,11,500000,50000,4,1140000,0,1,12,10,2,27,504208,4,0,1,4/13/2023,,,0,11,8,0.043859649122807015,0.43859649122807015,,,2_27,225,0.48245614035087714,1.7543859649122806,,Misrepresentation
386,49,5,10,499000,49900,4,360000,0,1,20,10,0,0,-,4,3,Unknown,4/18/2023,,,0,11,8,0.1386111111111111,1.386111111111111,,,0_0,0,1.386111111111111,5.544444444444444,,Misrepresentation
387,54,11,2,300000,30000,4,360000,0,1,12,10,428,4,843313,4,3,Unknown,5/8/2023,,,0,11,8,0.083333333,0.8333333333333334,,,428_4,367,0.16666666666666666,3.3333333333333335,,Misrepresentation
388,46,12,11,1000000,100000,4,660000,0,1,12,10,434,11,131039,4,0,1,4/17/2023,,,0,11,8,0.15151515151515152,1.5151515151515151,,,434_11,374,1.6666666666666667,6.0606060606060606,,Misrepresentation
389,50,10,2,500000,50000,4,300000,0,0,20,10,19,1,515672,4,3,Unknown,4/24/2023,,,0,11,8,0.16666666666666666,1.6666666666666667,,,19_1,112,0.3333333333333333,6.666666666666667,,Misrepresentation
390,53,11,10,1000000,100000,4,780000,0,1,12,10,386,7,492001,4,0,1,4/18/2023,,,0,11,8,0.1282051282051282,1.2820512820512822,,,386_7,320,1.282051282051282,5.128205128205129,,Misrepresentation
391,50,12,11,500000,50000,4,600000,0,1,12,10,158,21,761105,4,0,1,4/19/2023,,,0,11,8,0.083333333,0.8333333333333334,,,158_21,65,0.9166666666666666,3.3333333333333335,,Misrepresentation
392,49,10,11,500000,50000,4,900000,0,1,12,10,244,27,505001,4,0,1,4/20/2023,,,0,11,8,0.055555556,0.5555555555555556,,,244_27,162,0.611111111,2.2222222222222223,,Misrepresentation
393,54,10,11,500000,50000,4,552000,0,1,12,10,411,4,848114,4,0,1,4/20/2023,,,0,11,8,0.09057971,0.9057971014492754,,,411_4,349,0.9963768115942029,3.6231884057971016,,Misrepresentation
394,51,12,11,300000,30000,4,780000,0,0,12,10,346,3,782101,4,0,1,5/8/2023,,,0,11,8,0.038461538461538464,0.38461538461538464,,,346_3,276,0.42307692307692313,1.5384615384615385,,Misrepresentation
395,50,12,11,400000,40000,4,480000,0,1,12,10,161,29,201001,4,0,1,4/25/2023,,,0,11,8,0.083333333,0.8333333333333334,,,161_29,70,0.9166666666666666,3.3333333333333335,,Misrepresentation
396,50,12,11,500000,50000,4,596400,0,1,12,10,9,1,515671,4,0,1,4/24/2023,,,0,11,8,0.083836351,0.8383635144198525,,,9_1,512,0.9221998658618377,3.353454058,,Misrepresentation
397,54,11,10,1000000,100000,4,600000,0,1,12,10,55,29,203201,4,0,1,5/8/2023,,,0,11,8,0.16666666666666666,1.6666666666666667,,,55_29,463,1.6666666666666665,6.666666666666667,,Misrepresentation
398,48,12,11,400000,40000,4,540000,0,1,12,10,341,4,805127,4,0,1,4/27/2023,,,0,11,8,0.074074074,0.7407407407407407,,,341_4,271,0.8148148148148148,2.962962962962963,,Misrepresentation
399,53,12,11,400000,40000,4,720000,0,1,12,10,56,31,713346,4,0,1,4/28/2023,,,0,11,8,0.055555556,0.5555555555555556,,,56_31,464,0.611111111,2.2222222222222223,,Misrepresentation
400,53,12,11,500000,50000,4,480000,0,1,12,10,346,3,782124,4,0,1,5/22/2023,,,0,11,8,0.10416666666666667,1.0416666666666667,,,346_3,276,1.1458333333333335,4.166666666666667,,Misrepresentation
401,47,12,11,500000,50000,4,600000,0,1,12,10,337,27,508256,4,0,1,5/8/2023,,,0,11,8,0.083333333,0.8333333333333334,,,337_27,266,0.9166666666666666,3.3333333333333335,,Misrepresentation
402,50,11,11,500000,50000,4,660000,0,1,12,10,287,24,141120,4,0,1,5/15/2023,,,0,11,8,0.075757576,0.7575757575757576,,,287_24,210,0.8333333333333334,3.0303030303030303,,Misrepresentation
403,53,10,2,500000,50000,4,360000,0,1,15,10,90,1,517257,4,3,Unknown,5/9/2023,,,0,11,8,0.1388888888888889,1.3888888888888888,,,90_1,502,0.2777777777777778,5.555555555555555,,Misrepresentation
404,54,10,11,500000,50000,4,720000,0,1,12,10,256,7,497331,4,0,3,5/10/2023,,,0,11,8,0.069444444,0.6944444444444444,,,256_7,175,0.763888889,2.7777777777777777,,Misrepresentation
405,46,10,6,500000,50000,4,960000,0,1,12,10,360,25,306401,4,0,1,5/11/2023,,,0,11,8,0.052083333333333336,0.5208333333333334,,,360_25,292,0.3125,2.0833333333333335,,Misrepresentation
406,53,12,2,500000,50000,4,768000,0,1,12,10,259,26,635114,4,3,Unknown,5/11/2023,,,0,11,8,0.065104167,0.6510416666666666,,,259_26,178,0.13020833333333334,2.6041666666666665,,Misrepresentation
407,49,12,11,600000,60000,4,480000,0,1,12,10,408,16,470232,4,0,1,5/15/2023,,,0,11,8,0.125,1.25,,,408_16,345,1.375,5,,Misrepresentation
408,52,11,11,1000000,100000,4,720000,0,1,12,10,195,24,144211,4,0,1,5/15/2023,,,0,11,8,0.1388888888888889,1.3888888888888888,,,195_24,107,1.527777777777778,5.555555555555555,,Misrepresentation
409,51,11,11,300000,30000,4,480000,0,1,12,10,250,27,507115,4,0,1,5/16/2023,,,0,11,8,0.0625,0.625,,,250_27,169,0.6875,2.5,,Misrepresentation
410,50,12,11,500000,50000,4,800000,0,1,15,10,143,19,793002,4,0,1,5/16/2023,,,0,11,8,0.0625,0.625,,,143_19,49,0.6875,2.5,,Misrepresentation
411,51,10,2,500000,50000,4,250000,3,1,12,10,305,29,244302,4,0,1,6/5/2023,,,0,11,8,0.2,2,,,305_29,231,0.4,8,,Misrepresentation
412,50,1,11,500000,50000,4,576000,0,1,12,10,343,8,110034,4,0,1,5/17/2023,,,0,11,8,0.086805556,0.8680555555555556,,,343_8,273,0.954861111,3.4722222222222223,,Misrepresentation
413,52,10,6,500000,50000,4,648000,0,1,12,10,344,27,503111,4,0,1,5/23/2023,,,0,11,8,0.077160494,0.7716049382716049,,,344_27,274,0.4629629629629629,3.0864197530864197,,Misrepresentation
414,46,11,11,500000,50000,4,650000,0,1,12,10,131,7,493770,4,0,1,5/23/2023,,,0,11,8,0.076923077,0.7692307692307693,,,131_7,36,0.8461538461538463,3.076923076923077,,Misrepresentation
415,49,12,10,300000,30000,4,360000,0,1,21,10,339,17,422009,4,3,Unknown,5/25/2023,,,0,11,8,0.083333333,0.8333333333333334,,,339_17,268,0.8333333333333333,3.3333333333333335,,Misrepresentation
416,48,12,0,300000,30000,4,504000,0,1,12,10,119,7,491332,4,0,3,5/29/2023,,,0,11,8,0.05952381,0.5952380952380952,,,119_7,22,0,2.380952380952381,,Misrepresentation
417,52,12,0,500000,50000,4,350000,0,1,15,10,250,27,507306,4,0,2,6/1/2023,,,0,11,8,0.14285714285714285,1.4285714285714286,,,250_27,169,0,5.714285714285714,,Misrepresentation
418,55,12,2,1000000,100000,4,350000,0,1,12,10,31,3,781301,4,3,Unknown,6/1/2023,,,0,11,8,0.2857142857142857,2.857142857142857,,,31_3,247,0.5714285714285714,11.428571428571429,,Misrepresentation
419,48,12,0,300000,30000,4,360000,0,1,12,10,170,1,522411,4,0,1,6/1/2023,,,0,11,8,0.083333333,0.8333333333333334,,,170_1,80,0,3.3333333333333335,,Misrepresentation
420,48,12,2,300000,30000,4,300000,0,1,12,10,455,16,473585,4,0,7,6/5/2023,,,0,11,8,0.1,1,,,455_16,398,0.2,4,,Misrepresentation
421,51,11,11,500000,50000,4,600000,0,1,12,10,481,29,209859,4,0,1,6/8/2023,,,0,11,8,0.083333333,0.8333333333333334,,,481_29,427,0.9166666666666666,3.3333333333333335,,Misrepresentation
422,49,12,9,1000000,100000,4,504000,0,1,12,10,6,29,202138,4,0,1,6/8/2023,,,0,11,8,0.1984126984126984,1.9841269841269842,,,6_29,479,1.7857142857142856,7.936507936507937,,Misrepresentation
423,53,12,11,300000,30000,4,360000,0,0,12,10,250,27,507115,4,0,1,6/19/2023,,,0,11,8,0.083333333,0.8333333333333334,,,250_27,169,0.9166666666666666,3.3333333333333335,,Misrepresentation
424,54,12,11,300000,30000,4,360000,0,0,12,10,250,27,507115,4,0,1,6/30/2023,,,0,11,8,0.083333333,0.8333333333333334,,,250_27,169,0.9166666666666666,3.3333333333333335,,Misrepresentation
425,54,12,2,1000000,100000,4,1000000,0,1,12,10,342,1,524001,4,3,Unknown,6/20/2023,,,0,11,8,0.1,1,,,342_1,272,0.2,4,,Misrepresentation
426,50,11,2,500000,50000,4,480000,0,1,12,10,25,29,210129,4,3,Unknown,6/14/2023,,,0,11,8,0.10416666666666667,1.0416666666666667,,,25_29,179,0.20833333333333334,4.166666666666667,,Misrepresentation
427,51,11,2,500000,50000,4,600000,0,1,12,10,310,31,742103,4,3,Unknown,6/15/2023,,,0,11,8,0.083333333,0.8333333333333334,,,310_31,237,0.16666666666666666,3.3333333333333335,,Misrepresentation
428,48,10,6,500000,50000,4,350000,0,1,12,10,384,29,229123,4,0,1,6/14/2023,,,0,11,8,0.14285714285714285,1.4285714285714286,,,384_29,318,0.8571428571428571,5.714285714285714,,Misrepresentation
429,50,12,11,1000000,100000,4,240000,0,1,12,10,290,13,829203,4,0,1,6/16/2023,,,0,11,8,0.4166666666666667,4.166666666666667,,,290_13,214,4.583333333333334,16.666666666666668,,Misrepresentation
430,54,11,11,500000,50000,4,600000,0,1,12,10,336,3,781347,4,0,1,6/19/2023,,,0,11,8,0.083333333,0.8333333333333334,,,336_3,265,0.9166666666666666,3.3333333333333335,,Misrepresentation
431,51,10,2,300000,30000,4,350000,0,1,12,10,247,29,212217,4,3,Unknown,6/26/2023,,,0,11,8,0.085714286,0.8571428571428571,,,247_29,165,0.17142857142857143,3.4285714285714284,,Misrepresentation
432,53,12,11,500000,50000,4,1164000,0,1,12,10,118,3,786007,4,0,1,6/20/2023,,,0,11,8,0.042955326,0.42955326460481097,,,118_3,21,0.4725085910652921,1.7182130584192439,,Misrepresentation
433,51,10,11,1500000,150000,4,600000,0,1,12,10,399,7,493441,4,3,Unknown,6/23/2023,,,0,11,8,0.25,2.5,,,399_7,334,2.75,10,,Misrepresentation
434,51,10,11,1000000,100000,4,780000,0,0,12,10,344,27,503164,4,0,8,6/30/2023,,,0,11,8,0.1282051282051282,1.2820512820512822,,,344_27,274,1.4102564102564101,5.128205128205129,,Misrepresentation
435,45,12,11,500000,50000,4,420000,0,1,12,10,261,1,518004,4,0,1,7/4/2023,,,0,11,8,0.11904761904761904,1.1904761904761905,,,261_1,181,1.3095238095238095,4.761904761904762,,Misrepresentation
436,53,10,2,499000,49900,4,300000,0,1,15,10,244,27,505327,4,3,Unknown,7/6/2023,,,0,11,8,0.16633333333333333,1.6633333333333333,,,244_27,162,0.33266666666666667,6.653333333333333,,Misrepresentation
437,52,10,11,500000,50000,4,720000,0,0,12,10,288,3,787057,4,0,1,7/24/2023,,,0,11,8,0.069444444,0.6944444444444444,,,288_3,211,0.763888889,2.7777777777777777,,Misrepresentation
438,48,11,0,300000,30000,4,360000,0,1,12,10,235,27,501101,4,0,8,7/6/2023,,,0,11,8,0.083333333,0.8333333333333334,,,235_27,152,0,3.3333333333333335,,Misrepresentation
439,46,12,2,500000,50000,4,660000,0,1,12,10,197,27,500008,4,0,1,7/6/2023,,,0,11,8,0.075757576,0.7575757575757576,,,197_27,109,0.15151515151515152,3.0303030303030303,,Misrepresentation
440,48,12,0,300000,30000,4,400000,0,0,12,10,189,29,204101,4,0,1,7/28/2023,,,0,11,8,0.075,0.75,,,189_29,100,0,3,,Misrepresentation
441,51,12,11,500000,50000,4,600000,0,1,15,10,2,27,504299,4,0,1,7/7/2023,,,0,11,8,0.083333333,0.8333333333333334,,,2_27,225,0.9166666666666666,3.3333333333333335,,Misrepresentation
442,52,10,11,500000,50000,4,480000,0,1,12,10,90,1,517501,4,0,1,7/14/2023,,,0,11,8,0.10416666666666667,1.0416666666666667,,,90_1,502,1.1458333333333335,4.166666666666667,,Misrepresentation
443,52,12,11,1000000,100000,4,744000,0,0,12,10,0,0,-,4,3,Unknown,8/7/2023,,,0,11,8,0.13440860215053763,1.3440860215053763,,,0_0,0,1.478494623655914,5.376344086021505,,Misrepresentation
444,54,10,0,500000,50000,4,360000,0,1,15,10,28,25,325215,4,3,Unknown,7/13/2023,,,0,11,8,0.1388888888888889,1.3888888888888888,,,28_25,213,0,5.555555555555555,,Misrepresentation
445,50,12,10,1000000,100000,4,480000,0,1,12,10,43,25,311401,4,0,1,7/11/2023,,,0,11,8,0.20833333333333334,2.0833333333333335,,,43_25,380,2.0833333333333335,8.333333333333334,,Misrepresentation
446,54,12,11,300000,30000,4,600000,0,1,12,10,53,3,783384,4,0,1,7/12/2023,,,0,11,8,0.05,0.5,,,53_3,461,0.55,2,,Misrepresentation
447,55,12,11,500000,50000,4,780000,0,1,12,10,144,13,832107,4,0,1,7/13/2023,,,0,11,8,0.064102564,0.6410256410256411,,,144_13,50,0.7051282051282051,2.5641025641025643,,Misrepresentation
448,51,11,11,500000,50000,4,780000,0,0,12,10,114,13,828306,4,0,1,7/20/2023,,,0,11,8,0.064102564,0.6410256410256411,,,114_13,17,0.7051282051282051,2.5641025641025643,,Misrepresentation
449,55,3,6,400000,40000,4,420000,0,1,12,10,486,4,844508,4,0,1,7/17/2023,,,0,11,8,0.095238095,0.9523809523809523,,,486_4,432,0.5714285714285714,3.8095238095238093,,Misrepresentation
450,54,12,2,1000000,100000,4,600000,0,1,12,10,244,27,505401,4,0,1,7/17/2023,,,0,11,8,0.16666666666666666,1.6666666666666667,,,244_27,162,0.3333333333333333,6.666666666666667,,Misrepresentation
451,54,11,2,300000,30000,4,480000,0,1,12,10,9,1,515711,4,0,1,7/14/2023,,,0,11,8,0.0625,0.625,,,9_1,512,0.125,2.5,,Misrepresentation
452,52,12,11,400000,40000,4,420000,0,0,12,10,349,3,781372,4,0,1,7/24/2023,,,0,11,8,0.095238095,0.9523809523809523,,,349_3,279,1.0476190476190474,3.8095238095238093,,Misrepresentation
453,48,10,0,300000,30000,4,300000,0,0,12,10,15,25,305405,4,0,1,7/20/2023,,,0,11,8,0.1,1,,,15_25,68,0,4,,Misrepresentation
454,48,11,11,1000000,100000,4,800000,0,1,12,10,156,29,209724,4,0,1,7/19/2023,,,0,11,8,0.125,1.25,,,156_29,63,1.375,5,,Misrepresentation
455,48,9,11,300000,30000,4,960000,0,0,12,10,122,7,494449,4,0,1,7/25/2023,,,0,11,8,0.03125,0.3125,,,122_7,26,0.34375,1.25,,Misrepresentation
456,46,5,6,500000,50000,4,540000,0,1,12,10,224,25,302012,4,0,6,7/25/2023,,,0,11,8,0.092592593,0.9259259259259259,,,224_25,140,0.5555555555555556,3.7037037037037037,,Misrepresentation
457,55,12,11,500000,50000,4,600000,0,1,12,10,65,29,250101,4,0,1,7/26/2023,,,0,11,8,0.083333333,0.8333333333333334,,,65_29,474,0.9166666666666666,3.3333333333333335,,Misrepresentation
